foreign1,foreign2,definitions,level
読み,よみ,reading,JLPT N-3
日付,ひづけ,date; dating,JLPT N-3
板,いた,board; plank / sheet (of metal); plate (of glass); pane; slab / cutting board; chopping board / chef (esp. of high-end Japanese cuisine); cook / stage (i.e. at a theatre),JLPT N-3
皮,かわ,skin; hide; pelt; fur / rind; peel; husk; bark / shell; sheath; wrapping / mask (hiding one's true nature); seeming,JLPT N-3
氷,こおり,ice / shaved ice (usually served with flavored simple syrup),JLPT N-3
不幸,ふこう,unhappiness; sorrow; misfortune; disaster; accident / death (usu. of a relative); bereavement,JLPT N-3
不利,ふり,disadvantage; handicap; unfavorable position,JLPT N-3
文句,もんく,complaint; grumbling; objection / phrase; words; expression,JLPT N-3
別れ,わかれ,parting; separation; farewell; (lateral) branch; fork; offshoot; division; section,JLPT N-3
抱える,かかえる,"to hold or carry under or in the arms / to have (esp. problems, debts, etc.) / to employ; to engage; to hire",JLPT N-3
冒険,ぼうけん,adventure; venture / venture which is unlikely to succeed; risky attempt; danger; hazard; risk,JLPT N-3
面倒,めんどう,trouble; bother / trouble; difficulty / care; attention,JLPT N-3
流す,ながす,"to drain; to pour; to spill; to shed (blood, tears) / to wash away / to distribute (e.g. electricity over wires, music over a PA system, etc.); to circulate; to broadcast; to beam / to cruise (e.g. taxi) / to float; to set adrift / to call off (a meeting, etc.) / to exile; to banish",JLPT N-3
列,れつ,row; line; file; column; queue; rank; procession / company (of someone); group; ranks / sequence / counter for rows,JLPT N-3
姉妹,しまい,sisters,JLPT N-3
様々,さまざま,varied; various,JLPT N-3
向い,むかい,facing; opposite; across the street; other side,JLPT N-3
よい,良い,"good; excellent; fine; nice; pleasant; agreeable / sufficient (can be used to turn down an offer); ready; prepared / profitable (e.g. deal, business offer, etc.); beneficial / OK",JLPT N-3
氏,し,Mr; Mrs; Ms; Miss / clan / he; him / counter for people,JLPT N-3
愛情,あいじょう,love; affection,JLPT N-3
偉大,いだい,great; grand; magnificent; outstanding; mighty,JLPT N-3
運,うん,fortune; luck,JLPT N-3
嫁,よめ,wife; bride / (one's) daughter-in-law,JLPT N-3
菓子,かし,confectionery; sweets; candy; cake,JLPT N-3
回,かい,counter for occurrences / a time; an instance / inning (baseball); round; game / episode; chapter; instalment / Hui (people) / Islam,JLPT N-3
感じる,かんじる,to feel; to sense; to experience,JLPT N-3
奇妙,きみょう,strange; queer; curious,JLPT N-3
救助,きゅうじょ,relief; aid; rescue,JLPT N-3
局,きょく,"bureau; department / office (e.g. post, telephone); broadcasting station (e.g. television, radio); channel; exchange / affair; situation / game (of go, shogi, etc.)",JLPT N-3
金庫,きんこ,safe; strongbox; cashbox; vault; strongroom / depository; cash office; treasury; provider of funds,JLPT N-3
繰り返す,くりかえす,to repeat; to do something over again,JLPT N-3
語る,かたる,to talk about; to speak of; to tell; to narrate / to recite; to chant / to indicate; to show,JLPT N-3
時刻,じこく,instant; time; moment,JLPT N-3
守る,まもる,to protect; to guard; to defend / to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow,JLPT N-3
